product_id,sku,name,description,category,subcategory,brand,base_price,cost,current_price,currency,stock_quantity,reorder_point,supplier_id,weight_kg,dimensions,avg_rating,num_reviews,is_featured,is_bestseller,status,created_date,last_updated,tags
PRDLN1SS4M0,HOM-KX0WKA,Professional Storage Set,Important future top late black. Toward if race. Run choose born success.,Home,Storage,JensenHub,797.93,356.0,888.1076771500102,USD,736.0,70.0,SUPO6WKJA,6.36,31x19x11,3.97,32.0,False,False,Active,2025-08-15 18:12:33.281566,2025-08-27 21:47:47.745518,"limited,storage"
PRDSZGA90TO,HOM-68J04W,Essential Bedding System,Executive town traditional else sure and. Study lawyer piece various small.,Home,Bedding,Initech,61.77,26.27,51.019999223795715,USD,734.0,17.0,SUPJR4G0T,5.71,64x85x38,3.51,16.0,False,False,Out of Stock,2025-08-13 22:45:41.826841,2025-10-28 19:24:55.573938,"limited,sale,new,exclusive,bedding"
PRDDHSVXLVE,FAS-PD6BNO,Smart Jewelry Item,Building movement which and politics less approach of.,Fashion,Jewelry,RoyWorks,39006.47983870968,29.4,43.72240555122585,USD,122.0,77.0,SUPLB0OQN,6.97,100x16x49,4.03,14.0,True,False,Active,2025-02-24 17:30:34.568742,2025-09-25 11:52:23.540488,"sale,limited,jewelry"
PRDEW5CPFCD,FAS-DMXFRL,Essential Shoes Item,Grow forward event alone improve. Look along our left produce design. Pretty occur south quite allow report middle.,FaShIoN,Shoes,GutierrezPlus,762.88,530.89,629.6799253471711,USD,390.0,26.0,SUP7SCAMC,18.96,54x65x38,3.23,293.0,False,False,Active,2025-01-03 22:12:51.784709,2025-11-08 12:43:02.296781,"limited,popular,exclusive,eco-friendly,fashion"
PRDN2ZSL4H9,BOO-W75URD,Classic Games Solution,Present choose bill seat which. Price democratic these be month.,Books & Media,Games,CollinsTech,28.97,13.38,30.21640065271296,USD,697.0,14.0,SUPJ4HS5U,18.79,,3.22,109.0,False,False,Active,2025-09-15 06:07:34.453158,2025-11-25 09:15:48.790648,
PRDPZ5051KH,ELE-GSPCRI,Smart Phones Device,Staff rock career control send particularly.,Electronics,Phones,CampbellOne,644.41,322.92,763.633304499853,USD,842.0,45.0,SUPZMQZS7,16.08,31x47x32,4.44,4.0,False,False,Low Stock,2025-06-17 01:27:26.832240,2025-08-04 01:54:29.148823,"new,sale,eco-friendly,popular,phones"
PRD6ZSHJKR6,HEA-L8QKRN,Ultra Fitness Item,Let weight ahead my enter hot staff. Sing number raise but anyone. Foot great cause old clearly decision fight forward.,Health,Fitness,Initech,54.4,35.07,55.99570446565918,USD,308.0,25.0,SUP1GETVR,3.49,,4.36,154.0,False,False,Active,2025-09-27 17:40:28.204974,2025-11-17 12:52:13.645567,"limited,new,exclusive,fitness"
PRDZYRVY3I6,HEA-X5SI95,Classic Personal Care Item,Send executive pull according camera occur. Less himself behind key apply size behind.,NULL,Personal Care,ProKennedy,126.88,72.89,138.34864983728878,USD,391.0,44.0,SUPE7VRE9,9.88,95x100x43,3.17,109.0,False,False,Active,2025-10-12 18:32:37.819607,2025-12-03 03:36:08.501145,"eco-friendly,new,limited,popular,health"
PRD97DMQBO7,HEA-T0YVPG,Premium Personal Care Item,Traditional reality than defense blood effort last long. Continue story right poor event administration strategy. Each leave purpose loss treatment alone.,Health,Personal Care,WilliamsLabs,155.54,103.1,185.05971931202527,USD,673.0,69.0,SUPQAKAZC,15.35,41x47x30,3.61,60.0,False,,Active,2025-08-30 04:13:28.859385,2025-12-18 15:21:02.082035,"eco-friendly,limited,health"
PRDHIBZ1S01,ELE-O0CLGY,Smart Gaming Module,Hour late nation laugh accept. Part wall information theory herself Mrs media.,Electronics,Gaming,JensenHub,1020.09,540.08,1004.2002697700295,USD,716.0,56.0,SUP3UOP1P,1.32,83x100x41,3.45,348.0,False,False,Active,2025-10-06 21:18:35.685817,2025-10-30 08:56:18.981579,"exclusive,gaming"
PRD9J9WZ550,HOM-VKDZT0,Advanced Storage Kit,Guess send meeting eye her son company. Result might maintain visit. Win analysis throw.,Home,Storage,MurrayCo,48.52,26.1,44.88558665543014,USD,266.0,63.0,SUPAR7FS4,17.51,38x28x43,3.34,287.0,False,False,Active,2025-07-17 16:49:04.794292,2025-10-10 17:19:37.090831,"popular,sale,limited,new,home"
PRDD6GI6WUL,HOM-943CSV,Ultra Furniture System,First claim ago trade.,Home,Furniture,PrimeBooth,372.9,159.29,410.8324951187649,USD,70.0,29.0,SUPI06II0,1.48,6x29x26,4.48,68.0,False,False,Active,2025-03-24 04:23:18.832427,2025-07-25 23:12:26.606826,"new,limited,eco-friendly,home"
PRDS6PHE557,FAS-DT0NI6,Deluxe Clothing Solution,Arm enjoy stop address avoid admit focus factor. Cell after person skill talk kind. Save explain third performance especially respond.,Fashion,Clothing,GillWorks,64.07,31.93,59.34362310222618,USD,593.0,80.0,SUPISK6LZ,1.34,67x25x24,3.46,254.0,False,False,Active,2025-04-20 01:48:07.487356,2025-06-13 20:18:15.220985,"popular,new,fashion"
PRDOJT65ZQZ,HOM-IK94G2,Smart Lighting Kit,Day become happen community. Actually sense past peace. Gas west question sometimes range however yet.,Home,Lighting,CollinsTech,128.44,69.01,117.09032964260608,USD,870.0,28.0,SUPUCY8VJ,2.56,80x43x13,3.7,498.0,True,False,Active,2025-10-12 19:31:03.287031,2025-12-01 19:41:45.901073,"eco-friendly,limited,lighting"
PRDXMLJBOPC,BOO-O2XU3Y,Essential Games Solution,Within film effect look senior say test trade. Imagine mention notice far see. Address dog certain sign production last.,Books & Media,Games,MoralesCo,18.51,10.46,19.478438037199883,USD,383.0,12.0,SUP66CSPS,12.55,78x80x9,3.72,336.0,False,False,Active,2025-05-07 13:52:25.775087,2025-11-06 19:15:24.215140,"sale,popular,exclusive,new,books-&-media"
PRDPAE62NXH,BOO-LN6TJF,Advanced Movies Solution,Ready sell allow carry. Season adult medical fast throw add.,Books & Media,Movies,Umbrella,5.15,3.15,5.345247861468622,USD,361.0,23.0,SUPY1JXNO,5.66,73x43x17,4.37,65.0,False,False,Out of Stock,2025-09-02 13:30:37.572925,2025-11-04 07:39:23.176134,"popular,sale,movies"
PRDG0QHFBUY,ELE-7IE7N3,Modern Cameras Device,Away dog easy involve kitchen.,Electronics,Cameras,MaxTorres,1607.33,1010.1,1393.9528973644951,USD,857.0,94.0,SUPLR3LZ8,19.53,81x60x42,2.28,361.0,False,False,Active,2025-07-15 05:18:25.752629,2025-07-30 03:45:32.398980,"new,exclusive,cameras"
PRDILDVHHLH,HOM-9DSB5W,Deluxe Bedding Collection,She local western guy investment him anyone. Save effort should check pattern toward kind. Serious down college series.,Home,Bedding,ZenAnderson,551.34,361.41,512.9260899334811,USD,237.0,99.0,SUPJHR33N,4.9,87x53x17,3.53,398.0,False,False,Active,2025-01-02 10:29:38.173618,2025-06-09 17:29:40.672597,"popular,bedding"
PRDHACC09BI,HEA-R0BSAZ,Modern Medical Item,Send trip PM energy memory image. System situation return southern maintain. Thought same to by product.,Health,Medical,CoreJones,165.02,91.02,153.51439294208276,USD,998.0,75.0,SUP7RDGG2,4.02,13x65x31,4.86,285.0,True,False,Active,2025-03-19 13:51:16.911956,2025-07-26 22:11:16.550010,"exclusive,limited,eco-friendly,medical"
PRDV3LKXIQX,BOO-CU3KIO,Essential Games Solution,,Books & Media,Games,PrimeBooth,9.63,6.36,11.421060710557827,USD,652.0,35.0,SUP5KI5WN,19.81,39x21x14,4.19,63.0,False,False,Active,2025-10-23 20:42:28.290458,2025-12-16 03:33:35.607558,"new,limited,sale,popular,books-&-media"
PRDWH2E147R,BOO-R9CD04,Eco Movies Product,Picture guy answer question war born know. Create analysis produce standard yes artist blood. Computer heavy firm author defense marriage.,Books & Media,Movies,CoreHale,15.26,8.55,12.995547585855574,USD,,75.0,SUPPQCUCK,10.14,32x29x13,3.78,11.0,False,False,Active,2025-11-12 07:08:44.655778,2025-12-11 15:58:20.313673,"popular,new,exclusive,books-&-media"
PRDZKP8NHRR,HOM-QQ6TJQ,Smart Storage Collection,Financial necessary mind pass special skill. Popular determine style of eight. Different through hundred eight water. Try let study family.,Home,Storage,MaxTorres,1444.82,596.89,1647.2550890542093,USD,854.0,29.0,SUPCD09Y8,17.69,67x59x37,4.17,158.0,False,False,Active,2025-01-06 17:52:02.425271,2025-08-26 04:45:52.508255,"sale,limited,exclusive,home"
PRDKQOKGLE7,HEA-T5UQVV,Smart Fitness Solution,Later I fight commercial financial card. Line interview most tell night less paper owner.,Health,Fitness,MoralesCo,216.26,88.17,191.5890601466948,USD,936.0,69.0,SUPXAATXG,19.39,93x14x16,3.8,274.0,False,False,Discontinued,2025-07-30 17:20:33.638482,2025-08-19 21:38:19.532873,"sale,popular,exclusive,fitness"
PRDSN53GAOU,FAS-JRJ00I,Deluxe Jewelry Product,Hit appear consider owner without begin table attention. Story player special candidate role join space. Between long truth human right.,Fashion,Jewelry,MaxHayes,213.73,117.71,248.28849678650465,USD,444.0,66.0,SUPP86N7Q,10.85,36x16x27,3.77,300.0,False,False,Active,2025-01-19 04:47:41.456684,2025-09-24 10:19:39.588153,"limited,eco-friendly,exclusive,sale,jewelry"
PRDXJ0EXBFD,HEA-8DGUCS,Deluxe Supplements Item,Game enjoy word surface market popular allow. Probably suddenly better summer Congress thus. Whole top represent point professor another cost.,Health,Supplements,EliteFranklin,86.39,43.48,101.040512160594,USD,592.0,20.0,SUPLH0XFM,12.62,57x87x19,4.09,65.0,False,,Low Stock,2025-06-17 12:23:07.365905,2025-11-06 20:13:19.093351,"eco-friendly,sale,popular,exclusive,health"
PRDU52OCBHZ,FAS-Z5QS9H,Advanced Watches Product,Responsibility before prove until rest view. Tonight issue impact well. Fish performance as note.,Fashion,Watches,Wayne,72.22,32.86,85.78988523963793,USD,486.0,36.0,SUPP1BGPQ,6.19,90x62x47,4.87,320.0,False,False,Active,2025-05-26 05:36:09.989433,2025-12-18 18:30:21.634258,"popular,exclusive,eco-friendly,watches"
PRDTXM1FBLU,FAS-GEO6O1,Advanced Watches Product,,Fashion,Watches,PrimeWright,127.44,69.29,112.81376307451158,USD,767.0,66.0,SUPY5NE35,10.27,,5.0,267.0,False,False,Active,2025-03-27 15:04:55.749353,2025-05-25 09:50:31.508635,"sale,popular,watches"
PRDBZAF4KDC,FAS-JQMXSJ,Smart Watches Product,Open successful your full. Might pay send success. Control generation admit late center sound.,Fashion,Watches,WebsterPlus,47.94,24.51,44.758973944036796,USD,319.0,59.0,SUPSPCRPT,5.7,55x40x42,3.92,64.0,False,False,Active,2025-02-24 08:18:34.828199,2025-07-22 01:41:08.685247,"popular,new,limited,watches"
PRDT3SJ40BF,FAS-ULNLNY,Eco Watches Solution,Commercial cultural traditional college child thousand bag. Agreement outside blue fight student card. Rise pattern nation break Congress old member.,Fashion,Watches,RandolphPlus,595.95,281.98,521.5338328933407,USD,255.0,66.0,SUPE72AGU,43.54260580984356,75x44x25,2.91,7.0,False,False,Active,2025-01-10 10:01:51.793270,2025-06-07 13:51:07.822790,"popular,limited,fashion"
PRDA90721J2,HOM-AUMKBY,Essential Furniture Kit,Marriage site human modern trial detail contain. Actually economic prepare. She close before provide.,Home,Furniture,GillWorks,53.05,33.1,50.935386545264926,USD,158.0,40.0,SUP7T9DB8,6.81,73x38x5,3.41,478.0,False,False,Active,2025-09-13 01:04:16.864930,2025-12-07 07:44:28.798468,"eco-friendly,new,popular,limited,furniture"
PRD85EQTIE2,HEA-IEGB9O,Smart Personal Care Item,Wrong raise crime now some. Head bit hard. Water road yes green.,Health,Personal Care,Initech,180.52,125.16,213.46000735540645,USD,,37.0,SUPXZRT0G,14.84,11x70x25,5.0,,False,True,  Active,2025-10-05 15:50:01.306631,2025-10-09 08:56:09.364188,"new,popular,exclusive,limited,health"
PRDXPIW4EYQ,ELE-HQN257,Advanced Wearables Unit,Than growth try wait. Between build Mrs growth. Open perform good.,Electronics,Wearables,ProKennedy,390.61,248.54,326.6525608534621,,206.0,20.0,SUPC6FT6P,19.55,55x20x26,4.43,495.0,False,False,Active,2025-05-18 14:37:36.144581,2025-09-22 17:57:27.580687,"eco-friendly,exclusive,sale,popular,wearables"
PRDR9EU787O,BOO-XZN9NK,Deluxe Music Product,Believe those safe both. Attack determine gun best upon sister. Certain tough economy worry maintain son.,Books & Media,Music,washingtonhub,6.73,2.96,6.940472538811832,USD,572.0,36.0,SUPSL85NY,6.64,91x33x25,4.21,101.0,False,False,Active,2025-10-18 19:45:52.380792,2025-11-02 05:07:24.340535,"new,music"
PRDPZYBII8M,BOO-3AGPZ6,Advanced Books Solution,Industry wait information off really week become lose. Walk spring else political. Explain with TV memory doctor science.,Books & Media,Books,  PrimeSchmidt,7.64,4.86,7.050910596243141,USD,467.0,,SUPLXM9I9,0.42,28x75x12,3.93,406.0,False,False,Active,2025-04-25 12:30:11.966433,2025-11-06 05:56:51.245822,"limited,new,eco-friendly,popular,books-&-media"
PRD58OOHSUS,BOO-5NGW3U,Ultra Books Solution,Record likely college three tax factor media.,Books & Media,Books,ProRoman,20.11,9.17,23.009110960317482,USD,662.0,71.0,SUP05VF3C,33.4982199252756,63x53x28,4.06,192.0,False,False,Low Stock,2025-04-07 22:19:53.040678,2025-09-10 17:40:01.952021,"eco-friendly,new,books"
PRD0OWUWW61,BOO-AUFWE6,Classic Music Solution,Early vote allow guy guy. Seem nothing reason them language.,Books & Media,Music,GillWorks,14.94,7.6,15.241155892128313,USD,771.0,34.0,SUPLJUKKF,0.71,8x70x43,3.01,2.0,False,False,Low Stock,2025-01-04 13:55:47.084019,2025-12-07 15:39:06.213515,"eco-friendly,new,sale,music"
PRDOAYSXMZU,FAS-UMIPP2,Ultra Shoes Solution,Pretty growth raise at learn situation. Pretty population share work grow write house serve. Feel purpose artist interesting big prevent born.,Fashion,Shoes,RobersonHub,732.77,353.92,797.4464504186873,USD,475.0,30.0,SUPISPWPI,11.99,21x55x10,4.47,314.0,False,True,Active,2025-02-20 11:52:01.554119,2025-12-03 23:44:54.045538,"new,sale,eco-friendly,popular,shoes"
PRDAXG5XIFP,FAS-33LUNB,Premium Clothing Product,Bar authority accept difference section. Note agency out decide central eat. Mr new way foreign moment leg wife.,Fashion,Clothing,RichWorks,355.42,156.77,400.6156932207206,USD,609.0,86.0,SUP0796IY,12.63,17x17x25,4.09,125.0,False,False,Active,2025-08-13 10:02:36.617535,2025-11-01 10:44:14.602258,"new,fashion"
PRDTYCWN0K6,HEA-G2JTZ3,Advanced Fitness Item  ,Money control from spend remember from. American bag hear teach well so.,Health,,CoreSmith,283.23,127.14,,USD,75.0,78.0,SUPR5FVW4,18.17,32x13x12,4.69,119.0,False,True,Out of Stock,2025-10-22 07:19:39.052058,2025-12-05 01:53:26.860010,"popular,sale,fitness"
PRDLH2E4PVD,HEA-FOZJ9I,Professional Supplements Item,Opportunity you sell involve physical report. Avoid little drive military too natural but senior.,Health,Supplements,Acme,32.73,21.21,30.891757075969714,USD,468.0,25.0,SUP1FFT7J,18.11,69x93x43,5.0,471.0,False,False,Active,2025-03-26 20:56:48.582096,2025-07-20 02:32:39.074250,"exclusive,popular,sale,health"
PRDDW5AOBTT,HEA-GMW8ZV,Eco Medical Product,Believe base threat part able move address. Fight scene push eight meet. Way this leader eight hour.,Health,Medical,WebsterPlus,252.72,105.84,256.66205114322355,USD,235.0,50.0,SUPAMRA01,14.59,45x11x33,4.73,22.0,False,True,Active,2025-09-10 15:13:16.754741,2025-10-19 15:21:31.193895,"limited,eco-friendly,sale,health"
PRD94JDFUPS,HOM-HV9TV4,Advanced Storage Set,Bring exactly real pass nature section. During statement key consumer value skin. Even American finally what itself. Small during return suffer option.,Home,Storage,RobinsonPlus,201.08,107.74,165.2660753714376,USD,345.0,39.0,SUPRD3HRJ,0.75,18x44x30,4.45,194.0,False,False,Active,2025-06-08 20:43:49.469269,2025-06-27 20:02:58.618723,"limited,eco-friendly,storage"
PRDYXW2N73P,BOO-99I5NP,Ultra Music Solution,Parent yeah start someone process admit. Per friend upon final.,Books & Media,Music,RobersonHub,25.87,14.63,28.007470305050205,USD,309.0,50.0,SUP7ZTTLZ,5.23,45x86x18,3.51,475.0,False,False,Low Stock,2024-12-31 23:38:07.523833,2025-06-25 19:32:54.680002,"eco-friendly,new,music"
PRDAAWX4JVW,BOO-UOJF79,Ultra Games Product,Itself have newspaper much black month. Figure with throughout left.,Books & Media,Games,CoreJones,11.87,5.6,13.687446760479151,USD,892.0,82.0,SUPRG71PS,11.52,50x89x26,4.22,31.0,False,False,Active,2025-02-22 03:22:45.666780,,"limited,popular,exclusive,new,books-&-media"
PRDT4M1IAJC,HOM-9DQ2FX,Smart Lighting Set,Answer loss fly social. Person open often data also. Leg trial fire.,Home,Lighting,FordTech,498.57,296.44,451.72207663893107,USD,277.0,46.0,SUPAZK0LV,16.69,69x83x31,3.49,352.0,False,False,Active,2025-02-24 15:14:13.951628,2025-06-01 14:25:08.056002,"sale,limited,eco-friendly,exclusive,home"
PRDVIBZNZ29,ELE-4H7EIU,Smart Phones Device,Rich theory radio he Mr. Development audience successful eat plant system. Article worker however buy.,Electronics,Phones,McintoshHub,1522.75,991.86,1786.1656868474304,USD,699.0,56.0,SUPWC4HHE,9.19,48x21x7,4.81,12.0,True,False,Low Stock,2025-03-30 03:30:08.331720,2025-11-08 12:27:15.986129,"new,eco-friendly,limited,exclusive,electronics"
PRD95JBIWL3,HOM-JVIKSF,Essential Furniture Kit,Tree total away mind involve. Traditional moment significant several baby scene exactly. Magazine case consumer build air people. Bank building strategy bit get across certain up.,Home,Furniture,PrimeSchmidt,848.15,586.69,999.3811469493544,USD,219.0,98.0,SUP6B1ONB,6.24,76x72x23,2.71,363.0,False,False,Low Stock,2025-09-29 22:06:42.266101,2025-10-28 07:16:05.727051,"sale,furniture"
PRDYA7JCV67,FAS-19QZIB,Ultra Bags Item,Quite field kitchen drop can. Write crime with suffer there.,Fashion,Bags,CoreHale,509.04,294.05,507.3175483053123,USD,795.0,89.0,SUPW2VZ8D,3.38,65x34x20,2.61,251.0,False,False,Active,2025-10-08 17:05:54.807246,2025-12-10 17:09:10.917933,"limited,exclusive,new,eco-friendly,fashion"
PRDC9EAIG3B,BOO-QJFZ45,Essential Books Product,Model suffer whose add high kind include. Life same cup.,Books & Media,Books,JensenHub,13.04,8.62,10.595640933296707,USD,924.0,47.0,SUPHZE3XF,0.78,13x81x23,5.0,0.0,False,False,Active,2025-01-21 23:00:12.420314,2025-03-01 22:10:36.687372,"exclusive,eco-friendly,new,sale,books"
